X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
37,,0,,0,A1
36,B3,1,B1,0,C4
35,C3,2,C1,0,D6
34,D3,3,D1,0,F6
33,A4,4,A2,,
32,B4,5,B2,,
31,C4,6,C2,,
30,D4,7,D2,,
29,A5,8,A3,,
28,B5,9,B3,,
27,C5,10,C3,,
26,D5,11,D3,,
25,A6,12,A4,,
24,B6,13,B4,,
23,C6,14,C4,,
22,D6,15,D4,,
21,B7,16,B5,,
20,C7,17,C5,,
19,D7,18,D5,,
18,E7,19,E5,,
17,F7,20,F5,,
16,G7,21,G5,,
15,E6,22,E4,,
14,F6,23,F4,,
13,G6,24,G4,,
12,H6,25,H4,,
11,E5,26,E3,,
10,F5,27,F3,,
9,G5,28,G3,,
8,H5,29,H3,,
7,E4,30,E2,,
6,F4,31,F2,,
5,G4,32,G2,,
4,H4,33,H2,,
3,E3,34,E1,,
2,F3,35,F1,,
1,G3,36,G1,,
0,,37,,,
